ADDR,LAT,LON,HOUSE_ID,ADDRESS,YEAR,LASTUPDATE,SERVICEDATE_START,SERIE,HOUSE_TYPE,CAPFOND,MGMT_COMPANY,MGMT_COMPANY_LINK,AVAR,LEVELS_MAX,LEVELS_MIN,DOORS,ROOM_COUNT,ROOM_COUNT_LIVE,ROOM_COUNT_NONLIVE,AREA,AREA_LIVE,AREA_NONLIVE,AREA_GEN,AREA_LAND,AREA_PARK,CADNO,ENERGY_CLASS,BLAG_PLAYGROUND,BLAG_SPORT,BLAG_OTHER,OTHER
"2-я Владимирская улица, дом 22",55.756275,37.780545,7680285,"г. Москва, ул. Владимирская 2-я, д. 22",1966,04.03.2016 в 10:36,01.01.2010,1-515,Многоквартирный дом,На счете регионального оператора,"ООО ""УК ЮНИ-ДОМ""",http://www.reformagkh.ru/mymanager/profile/7567428/,Нет,5,5,4,80,80,0,3551.20,3551.20,0.00,1816.35,0.00,0.00,,E,Не имеется,Не имеется,Не заполнено,Не заполнено
"2-я Владимирская улица, дом 25",55.756437,37.782467,8643743,"г. Москва, ул. Владимирская 2-я, д. 25",1965,18.01.2016 в 14:46,01.09.2015,1-515,Многоквартирный дом,На специальном счете у регионального оператора,"ГБУ ""Жилищник района Перово""",http://www.reformagkh.ru/mymanager/profile/8926753/,Нет,5,5,4,80,80,0,3523.00,2284.00,0.00,903.40,0.00,Незаполнено,,E,Имеется,Не имеется,Не заполнено,Не заполнено
"2-я Владимирская улица, дом 26, корпус 1",55.754385,37.781084,7680299,"г. Москва, ул. Владимирская 2-я, д. 26, к. 1",1966,04.03.2016 в 10:40,01.01.2010,индив.,Многоквартирный дом,На счете регионального оператора,"ООО ""УК ЮНИ-ДОМ""",http://www.reformagkh.ru/mymanager/profile/7567428/,Нет,5,5,6,119,119,0,5149.50,5149.50,0.00,2629.85,0.00,0.00,,E,Не имеется,Не имеется,Не заполнено,Не заполнено
"2-я Владимирская улица, дом 27",55.755925,37.782764,8643746,"г. Москва, ул. Владимирская 2-я, д. 27",1965,18.01.2016 в 14:47,01.09.2015,1-151,Многоквартирный дом,На специальном счете у регионального оператора,"ГБУ ""Жилищник района Перово""",http://www.reformagkh.ru/mymanager/profile/8926753/,Нет,5,5,4,80,80,0,3640.20,2347.00,0.00,915.00,0.00,Незаполнено,,E,Не имеется,Не имеется,Не заполнено,Не заполнено
"2-я Владимирская улица, дом 28, корпус 1",55.753575,37.78235,7680325,"г. Москва, ул. Владимирская 2-я, д. 28, к. 1",1961,04.03.2016 в 11:07,01.01.2010,1-515,Многоквартирный дом,На счете регионального оператора,"ООО ""УК ЮНИ-ДОМ""",http://www.reformagkh.ru/mymanager/profile/7567428/,Нет,5,5,4,81,80,1,3489.00,3446.00,43.00,1846.95,0.00,0.00,,E,Не имеется,Не имеется,Не заполнено,Не заполнено
"2-я Владимирская улица, дом 28, корпус 2",55.753407,37.781497,7680334,"г. Москва, ул. Владимирская 2-я, д. 28, к. 2",1959,04.03.2016 в 11:13,01.07.2009,1-515,Многоквартирный дом,На счете регионального оператора,"ООО ""УК ЮНИ-ДОМ""",http://www.reformagkh.ru/mymanager/profile/7567428/,Нет,5,5,4,80,80,0,3418.50,3419.00,0.00,1866.75,0.00,0.00,,E,Не имеется,Не имеется,Не заполнено,Не заполнено
"2-я Владимирская улица, дом 28, корпус 3",55.7532,37.780545,7680352,"г. Москва, ул. Владимирская 2-я, д. 28, к. 3",1960,04.03.2016 в 11:17,01.01.2010,индив.,Многоквартирный дом,На счете регионального оператора,"ООО ""УК ЮНИ-ДОМ""",http://www.reformagkh.ru/mymanager/profile/7567428/,Нет,5,5,3,59,58,1,3214.70,3125.00,90.00,1756.80,0.00,0.00,,E,Не имеется,Не имеется,Не заполнено,Не заполнено
"2-я Владимирская улица, дом 30, корпус 1",55.752754,37.782602,7680364,"г. Москва, ул. Владимирская 2-я, д. 30, к. 1",1965,04.03.2016 в 11:21,01.01.2010,1-515,Многоквартирный дом,На счете регионального оператора,"ООО ""УК ЮНИ-ДОМ""",http://www.reformagkh.ru/mymanager/profile/7567428/,Нет,5,5,4,66,64,2,3690.80,2707.00,1007.00,1987.80,0.00,0.00,,D,Не имеется,Не имеется,Не заполнено,Не заполнено
"2-я Владимирская улица, дом 30, корпус 2",55.752460,37.781003,7680374,"г. Москва, ул. Владимирская 2-я, д. 30, к. 2",1961,04.03.2016 в 11:24,01.01.2010,индив.,Многоквартирный дом,На счете регионального оператора,"ООО ""УК ЮНИ-ДОМ""",http://www.reformagkh.ru/mymanager/profile/7567428/,Нет,5,5,3,61,60,1,2501.00,2492.00,9.00,1714.90,0.00,0.00,,E,Не имеется,Не имеется,Не заполнено,Не заполнено
"2-я Владимирская улица, дом 31",55.754644,37.783545,8643756,"г. Москва, ул. Владимирская 2-я, д. 31",1968,18.01.2016 в 14:50,01.09.2015,1-515,Многоквартирный дом,На специальном счете у регионального оператора,"ГБУ ""Жилищник района Перово""",http://www.reformagkh.ru/mymanager/profile/8926753/,Нет,5,5,4,80,80,0,3531.10,2298.00,1233.00,909.40,0.00,Незаполнено,,E,Имеется,Не имеется,Не заполнено,Не заполнено
