ADDR,LAT,LON,HOUSE_ID,ADDRESS,YEAR,LASTUPDATE,SERVICEDATE_START,SERIE,HOUSE_TYPE,CAPFOND,MGMT_COMPANY,MGMT_COMPANY_LINK,AVAR,LEVELS_MAX,LEVELS_MIN,DOORS,ROOM_COUNT,ROOM_COUNT_LIVE,ROOM_COUNT_NONLIVE,AREA,AREA_LIVE,AREA_NONLIVE,AREA_GEN,AREA_LAND,AREA_PARK,CADNO,ENERGY_CLASS,BLAG_PLAYGROUND,BLAG_SPORT,BLAG_OTHER,OTHER
"Большая Очаковская улица, дом 9",55.684528,37.459469,7717298,"г. Москва, ул. Очаковская Б., д. 9",1957,15.02.2016 в 10:00,20.10.2010,индивидуальная,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,3,54,54,0,4981.10,3739.00,1242.10,3375.80,3538.00,0.00,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"Веерная улица, дом 10",55.710519,37.48773,7716599,"г. Москва, ул. Веерная, д. 10",1966,24.02.2016 в 10:03,20.10.2010,I-515,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,6,122,120,2,5125.00,5125.00,9.00,4078.00,11990.00,624.00,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"Веерная улица, дом 12, корпус 2",55.710235,37.486966,7716630,"г. Москва, ул. Веерная, д. 12, к. 2",1966,24.02.2016 в 09:18,11.03.2011,I-515,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,6,119,119,0,5209.00,5209.00,0.00,4078.20,8378.00,482.00,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено
"Веерная улица, дом 14, корпус 2",55.710058,37.486113,7716649,"г. Москва, ул. Веерная, д. 14, к. 2",1966,24.02.2016 в 10:06,20.10.2010,I-515,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,6,120,120,0,5135.00,5135.00,0.00,4078.20,12247.50,1607.00,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"Веерная улица, дом 16, корпус 2",55.710002,37.485197,7716700,"г. Москва, ул. Веерная, д. 16, к. 2",1966,24.02.2016 в 10:33,20.10.2010,I-515,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,6,120,120,0,5144.00,5144.00,0.00,4078.20,12247.50,0.00,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено
"Веерная улица, дом 26, корпус 2",55.710002,37.481217,7716754,"г. Москва, ул. Веерная, д. 26, к. 2",1966,26.02.2016 в 08:11,20.10.2010,I-515,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,6,117,117,0,5176.00,5044.00,132.00,4085.20,15718.00,349.00,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено
"Веерная улица, дом 32, корпус 2",55.710961,37.480732,7716930,"г. Москва, ул. Веерная, д. 32, к. 2",1967,25.02.2016 в 10:43,20.10.2010,I-515,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,6,120,129,1,5166.20,5108.30,57.90,4078.20,8150.00,153.00,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"Веерная улица, дом 32, корпус 3",55.711458,37.480768,7716934,"г. Москва, ул. Веерная, д. 32, к. 3",1967,25.02.2016 в 10:45,20.10.2010,I-515,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,6,120,120,0,5104.00,5104.00,0.00,4073.00,8988.00,136.00,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"Веерная улица, дом 34, корпус 2",55.711945,37.481001,7716941,"г. Москва, ул. Веерная, д. 34, к. 2",1966,10.02.2016 в 13:33,20.10.2010,I-515,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,6,120,120,0,5156.00,5156.00,0.00,4078.20,9768.00,627.00,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"Веерная улица, дом 36, корпус 2",55.712396,37.481406,7716946,"г. Москва, ул. Веерная, д. 36, к. 2",1966,10.02.2016 в 13:35,15.05.2011,I-515,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,6,120,118,2,5141.70,5067.00,74.70,4080.00,5707.00,486.00,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено
"Веерная улица, дом 8",55.710895,37.48835,7717017,"г. Москва, ул. Веерная, д. 8",1967,24.02.2016 в 10:31,25.11.2010,I-515,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,6,120,120,0,5125.00,5125.00,0.00,4078.00,7457.00,784.00,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"Матвеевская улица, дом 20, корпус 1",55.703454,37.466305,7717094,"г. Москва, ул. Матвеевская, д. 20, к. 1",1968,10.02.2016 в 14:42,05.11.2010,I-515,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,9,179,179,0,7744.00,7744.00,0.00,6145.60,11468.75,1803.00,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"Матвеевская улица, дом 24",55.703586,37.465497,7717096,"г. Москва, ул. Матвеевская, д. 24",1967,10.02.2016 в 14:43,11.11.2010,I-515,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,9,179,179,0,7799.40,7799.40,0.00,6145.60,11468.75,0.00,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено
"Матвеевская улица, дом 26",55.703672,37.464652,7717098,"г. Москва, ул. Матвеевская, д. 26",1967,11.02.2016 в 08:57,11.11.2010,I-515,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,9,178,178,0,7732.00,7732.00,0.00,6137.60,11468.75,0.00,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено
"Матвеевская улица, дом 28",55.70388,37.463907,7717099,"г. Москва, ул. Матвеевская, д. 28",1968,11.02.2016 в 09:04,11.11.2010,I-515,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,9,178,177,2,7731.30,6944.80,381.20,3333.40,11038.00,607.00,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"Матвеевская улица, дом 30",55.704179,37.463242,7717110,"г. Москва, ул. Матвеевская, д. 30",1968,11.02.2016 в 09:07,11.11.2010,I-515,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,9,179,179,0,7732.00,7732.00,0.00,6137.60,16167.00,691.00,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"Матвеевская улица, дом 32, корпус 2",55.704479,37.462568,7717111,"г. Москва, ул. Матвеевская, д. 32, к. 2",1967,11.02.2016 в 09:10,11.11.2010,I-515,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,9,179,179,0,7778.00,7778.00,0.00,6137.60,16167.00,0.00,,Не присвоен,Не имеется,Имеется,Не заполнено,Не заполнено
"Озёрная улица, дом 10",55.68124,37.458535,7717169,"г. Москва, ул. Озерная, д. 10",1955,12.02.2016 в 10:03,15.05.2011,индивидуальная,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,3,56,56,0,5373.10,3633.00,1740.10,4066.80,3591.00,385.00,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"Озёрная улица, дом 12",55.68093,37.457744,7717173,"г. Москва, ул. Озерная, д. 12",1955,12.02.2016 в 10:11,11.11.2010,индивидуальная,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,3,51,51,0,3500.70,3118.00,382.70,2408.40,3591.00,0.00,,Не присвоен,Не имеется,Имеется,Не заполнено,Не заполнено
"Озёрная улица, дом 14",55.680321,37.457457,7717178,"г. Москва, ул. Озерная, д. 14",1955,18.02.2016 в 12:01,15.05.2013,индивидуальная,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,3,60,60,0,5374.20,3825.00,1549.20,3616.20,3591.00,0.00,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено
"Озёрная улица, дом 2/12",55.683524,37.461158,7717187,"г. Москва, ул. Озерная, д. 2/12",1955,17.02.2016 в 14:29,18.06.2013,индивидуальная,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,3,59,59,0,5340.30,4076.00,1263.30,3970.20,4270.00,0.00,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено
"Озёрная улица, дом 20",55.679169,37.455391,7717189,"г. Москва, ул. Озерная, д. 20",1963,12.02.2016 в 11:03,20.10.2010,1605,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,4,80,80,0,3659.20,3659.20,0.00,2727.40,5194.00,170.00,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"Озёрная улица, дом 22",55.678412,37.455247,7717193,"г. Москва, ул. Озерная, д. 22",1961,18.02.2016 в 12:09,26.04.2013,I-515,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,4,80,80,0,3698.00,3698.00,0.00,2757.60,5098.00,384.00,,Не присвоен,Имеется,Имеется,Не заполнено,Не заполнено
"Озёрная улица, дом 24",55.677225,37.45389,7717200,"г. Москва, ул. Озерная, д. 24",1960,18.02.2016 в 12:16,29.05.2013,индивидуальная,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,4,84,84,0,3784.70,3368.00,416.70,2932.80,4423.00,170.00,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено
"Озёрная улица, дом 28",55.676032,37.452085,7717206,"г. Москва, ул. Озерная, д. 28",1964,12.02.2016 в 15:15,22.10.2010,I-515,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,4,80,80,0,3416.00,3416.00,0.00,2851.80,6323.00,265.00,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"Озёрная улица, дом 30, корпус 1",55.675407,37.451348,7717211,"г. Москва, ул. Озерная, д. 30, к. 1",1964,15.02.2016 в 08:48,25.11.2010,I-515,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,4,80,80,0,3406.10,3406.10,0.00,3001.00,5248.00,0.00,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено
"Озёрная улица, дом 30, корпус 2",55.676062,37.451141,7717212,"г. Москва, ул. Озерная, д. 30, к. 2",1965,18.02.2016 в 14:44,16.06.2013,I-515,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,4,80,80,0,3445.50,3445.50,0.00,2857.20,5148.00,128.00,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"Озёрная улица, дом 32, корпус 1",55.674788,37.450629,7717221,"г. Москва, ул. Озерная, д. 32, к. 1",1964,15.02.2016 в 09:03,15.05.2011,I-515,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,4,80,80,0,3426.00,3426.00,0.00,2885.80,5227.00,262.00,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено
"Озёрная улица, дом 32, корпус 2",55.675433,37.450414,7717223,"г. Москва, ул. Озерная, д. 32, к. 2",1964,18.02.2016 в 14:56,22.04.2013,I-515,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,4,80,80,0,3408.20,3408.20,0.00,2862.80,5723.00,0.00,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено
"Озёрная улица, дом 32, корпус 3",55.676077,37.450189,7717224,"г. Москва, ул. Озерная, д. 32, к. 3",1964,15.02.2016 в 09:15,22.10.2010,I-515,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,4,80,80,0,3393.30,3393.30,0.00,2862.80,4665.00,246.00,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено
"Озёрная улица, дом 34, корпус 1",55.674148,37.449947,7717226,"г. Москва, ул. Озерная, д. 34, к. 1",1964,15.02.2016 в 09:42,22.10.2010,I-515,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,4,80,80,0,3481.00,3481.00,0.00,2884.60,4803.00,248.00,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"Озёрная улица, дом 34, корпус 2",55.674808,37.449713,7717228,"г. Москва, ул. Озерная, д. 34, к. 2",1963,15.02.2016 в 09:44,22.10.2010,I-511,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,4,80,80,0,3430.80,3430.80,0.00,2862.80,5267.00,62.00,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"Озёрная улица, дом 34, корпус 3",55.675463,37.449489,7717231,"г. Москва, ул. Озерная, д. 34, к. 3",1963,15.02.2016 в 09:46,15.05.2011,I-515,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,4,80,80,0,3399.00,3399.00,0.00,2862.80,4464.00,53.00,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено
"Озёрная улица, дом 4/9",55.68295,37.460367,7717237,"г. Москва, ул. Озерная, д. 4/9",1954,12.02.2016 в 09:57,25.10.2010,индивидуальная,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,3,51,51,0,5304.40,3466.10,1838.30,3983.60,3750.00,139.00,,Не присвоен,Имеется,Имеется,Не заполнено,Не заполнено
"Озёрная улица, дом 6",55.682199,37.459649,7717241,"г. Москва, ул. Озерная, д. 6",1965,18.02.2016 в 08:28,23.01.2013,индивидуальная,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,6,120,120,0,5586.50,5034.00,552.50,4246.60,5289.00,0.00,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено
"Очаковское шоссе, дом 2, корпус 1",55.69728,37.460188,7717323,"г. Москва, ш. Очаковское, д. 2, к. 1",1962,02.03.2016 в 15:23,20.10.2010,1605,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,4,80,80,0,3648.00,3648.00,0.00,2718.20,5320.00,222.00,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено
"Очаковское шоссе, дом 2, корпус 2",55.69795,37.459693,7717324,"г. Москва, ш. Очаковское, д. 2, к. 2",1966,02.03.2016 в 16:02,17.04.2013,индивидуальная,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,4,80,80,0,3861.30,3194.00,667.30,2698.60,5543.00,195.00,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"Очаковское шоссе, дом 4, корпус 1",55.696905,37.459864,7717333,"г. Москва, ш. Очаковское, д. 4, к. 1",1966,04.03.2016 в 08:28,12.12.2012,I-515,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,4,80,80,0,3608.00,3608.00,0.00,2755.60,5192.00,31.00,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"проектируемый проезд № 1980, дом 3",55.674143,37.446057,7717369,"г. Москва, проезд. Проектируемый 1980-й, д. 3",1966,02.03.2016 в 08:44,15.05.2013,I-515,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,4,80,80,0,3541.00,3541.00,0.00,2798.80,3988.00,85.00,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено
"проектируемый проезд № 1980, дом 5",55.67389,37.446722,7717371,"г. Москва, проезд. Проектируемый 1980-й, д. 5",1965,02.03.2016 в 08:58,28.03.2013,I-515,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,4,80,80,0,3556.00,3556.00,0.00,2795.20,7261.00,715.00,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"проектируемый проезд № 1980, дом 7, корпус 1",55.673458,37.447728,7717372,"г. Москва, проезд. Проектируемый 1980-й, д. 7, к. 1",1965,02.03.2016 в 09:31,15.05.2013,I-515,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,4,80,80,0,3529.40,3529.40,0.00,2777.40,5812.00,0.00,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"проектируемый проезд № 1980, дом 7, корпус 2",55.674118,37.447494,7717373,"г. Москва, проезд. Проектируемый 1980-й, д. 7, к. 2",1965,02.03.2016 в 09:50,25.05.2013,I-515,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,4,80,80,0,3553.00,3553.00,0.00,2753.60,5583.00,186.00,,Не присвоен,Не имеется,Имеется,Не заполнено,Не заполнено
"проектируемый проезд № 1980, дом 7, корпус 3",55.674468,37.448303,7717375,"г. Москва, проезд. Проектируемый 1980-й, д. 7, к. 3",1965,02.03.2016 в 10:00,04.04.2013,I-515,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,4,80,80,0,3521.00,3521.00,0.00,2748.00,4213.00,186.00,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"проектируемый проезд № 1980, дом 7, корпус 4",55.674067,37.44903,7717376,"г. Москва, проезд. Проектируемый 1980-й, д. 7, к. 4",1964,02.03.2016 в 10:17,25.04.2013,I-515,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,4,80,80,0,3566.00,3566.00,0.00,2815.00,5294.00,232.00,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено
"улица Марии Поливановой, дом 11",55.679077,37.454313,7717037,"г. Москва, ул. Марии Поливановой, д. 11",1962,10.02.2016 в 14:06,15.05.2011,I-515,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,3,60,60,0,2679.20,2679.20,0.00,2010.00,3815.00,48.00,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"улица Марии Поливановой, дом 11А",55.678661,37.454034,7717040,"г. Москва, ул. Марии Поливановой, д. 11А",1969,10.02.2016 в 14:08,15.05.2011,индивидуальная,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,4,80,80,0,3398.30,3398.30,0.00,3004.40,3906.00,0.00,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"улица Марии Поливановой, дом 13",55.678057,37.454411,7717042,"г. Москва, ул. Марии Поливановой, д. 13",1962,10.02.2016 в 14:10,11.05.2011,I-515,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,3,60,60,0,2678.00,2678.00,0.00,2029.80,2617.00,0.00,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено
"улица Марии Поливановой, дом 2/19",55.680245,37.448923,7717043,"г. Москва, ул. Марии Поливановой, д. 2/19",1963,10.02.2016 в 13:59,15.05.2011,индивидуальная,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,4,80,80,0,5036.10,3417.00,1619.10,3238.20,4305.00,75.00,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"улица Марии Поливановой, дом 4",55.679549,37.450162,7717048,"г. Москва, ул. Марии Поливановой, д. 4",1961,18.02.2016 в 07:49,10.01.2013,индивидуальная,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,4,80,80,0,3807.70,3399.00,408.70,2696.30,4504.66,480.00,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"улица Марии Поливановой, дом 9А",55.679219,37.453199,7717052,"г. Москва, ул. Марии Поливановой, д. 9А",1967,10.02.2016 в 14:03,20.10.2010,индивидуальная,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,4,80,80,0,3421.00,3421.00,0.00,3010.20,4025.00,67.00,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"улица Наташи Ковшовой, дом 3",55.684868,37.456298,7717142,"г. Москва, ул. Наташи Ковшовой, д. 3",1963,11.02.2016 в 10:08,20.10.2010,индивидуальная,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,3,52,52,0,2741.90,2154.00,587.90,2210.20,2705.00,1016.00,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"улица Наташи Ковшовой, дом 7/1",55.683183,37.45398,7717150,"г. Москва, ул. Наташи Ковшовой, д. 7/1",1957,11.02.2016 в 15:26,25.11.2010,индивидуальная,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,4,56,56,0,5139.50,4085.00,1044.50,4434.40,4205.00,0.00,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено
"улица Пржевальского, дом 10",55.68057,37.454941,7717360,"г. Москва, ул. Пржевальского, д. 10",1960,02.03.2016 в 14:31,07.05.2013,индивидуальная,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,4,67,67,0,3609.20,3479.10,130.10,2395.20,5550.00,392.00,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"улица Пржевальского, дом 10А",55.679793,37.45531,7717362,"г. Москва, ул. Пржевальского, д. 10А",1960,02.03.2016 в 14:43,13.04.2011,I-515,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,3,60,60,0,3459.50,2571.00,888.50,1871.80,2754.00,33.00,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено
"улица Пржевальского, дом 12",55.680082,37.456073,7717363,"г. Москва, ул. Пржевальского, д. 12",1960,02.03.2016 в 14:55,22.05.2013,индивидуальная,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,4,59,56,3,2660.40,2660.40,0.00,2005.20,4484.00,95.00,,Не присвоен,Имеется,Имеется,Не заполнено,Не заполнено
"улица Пржевальского, дом 14/16",55.679661,37.456702,7717365,"г. Москва, ул. Пржевальского, д. 14/16",1961,02.03.2016 в 15:05,16.05.2013,индивидуальная,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,4,64,64,0,3412.50,3067.20,345.30,1626.40,3505.00,941.00,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено
"улица Пржевальского, дом 9",55.680986,37.456864,7717368,"г. Москва, ул. Пржевальского, д. 9",1971,02.03.2016 в 14:21,13.02.2013,I-515,Многоквартирный дом,Не определен,"ГБУ ""Жилищник района Очаково-Матвеевское""",http://www.reformagkh.ru/mymanager/profile/7702075/,Нет,5,1,6,120,120,0,5098.00,5098.00,0.00,4130.80,11782.00,778.00,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"Аминьевское шоссе, дом 14, корпус 1",55.713121,37.454223,7686812,"г. Москва, ш. Аминьевское, д. 14, к. 1",1972,02.03.2016 в 10:45,15.09.2006,1-511,Многоквартирный дом,На специальном счете у регионального оператора,"ГБУ г. Москвы ""Жилищник района Фили-Давыдково""",http://www.reformagkh.ru/mymanager/profile/7680834/,Нет,5,1,4,64,64,0,3960.50,2686.40,1274.10,0.00,4265.00,0.00,,A,Имеется,Не имеется,Не заполнено,Не заполнено
"Аминьевское шоссе, дом 14, корпус 2",55.713152,37.45495,7686824,"г. Москва, ш. Аминьевское, д. 14, к. 2",1963,27.02.2016 в 18:03,27.09.2006,1-510,Многоквартирный дом,На специальном счете у регионального оператора,"ГБУ г. Москвы ""Жилищник района Фили-Давыдково""",http://www.reformagkh.ru/mymanager/profile/7680834/,Нет,5,2,4,80,80,0,3453.60,3433.30,20.30,0.00,5137.50,0.00,,A,Имеется,Не имеется,Не заполнено,Не заполнено
